,sentences,label
1218,Hard-force the match to fixed N-lines down from top of screen.,0
1158,"Actually it's in Chrome 57, which is stable as of this week.",0
1415,"If I allowed a special tag that let you say a test was assigned to a certain function named `Invoke-MyFunction`, I'd want to expose a ""play"" button right next to the `Invoke-MyFunction` definition to run all tests ""tagged"" to that function.",0
3164,Download speed of pytorch/torch is too slow.,0
1527,"That is a little different, but tracked in",0
3404,Or should it include more than this?,1
1300,I can verify there is an _attempt_ at getting this right.,2
3340,Can I have a differentiable function`undensify` so that I could test `g(x):=f(undensify(x))` before feeding into `gradcheck`?,1
2849,See #85559 for additional details.,0
1603,"It is quite frustrating, since I perform this action many times each day and it results in both the file/folder not getting created/updated as well as text (what I wanted the new/updated file/folder name to be) getting placed where I do not expect it to, since the focus is not moved properly.",0
160,Thank you.,0
1704,"So almost two years after this request, no love for this basic but yet very important feature ?",2
956,When I checked it on Mac M1 i found the reported error as you.,0
2870,"Editor note: This is #17139

----

Thank you AshStuff!",0
3397,Such functions are not using non-masked semantics.,0
877,"Such passes are mostly testing passes, they can't support the world.",0
1920,So I want to be able to customize triple-click to behave identically to double-click.,0
2962,"[image](

Note the y-axis is not visible inline but if you click on the image it should be visible.",0
1885,This is surprising to me.,1
2201,"That should be a sufficient enough indicator to figure out if an instance is running.

!",2
98,"This happens at least for Adam (does not apply to SGD for example, did not test with others).",0
3296,"and that the sparse semantics is respected, I would compute the full Jacobian over the whole space and check that the Jacobian entries not corresponding to `nnz` indices are all zeroes.",0
2558,>  can you post collect_env from your working PyTorch-2.1 installation?,2
253,"],
       [7., 7., 7., 7., 7., 7., 7.",0
103,"> * The state of the optimizer, allowing to resume training exactly where you left off.",0
1445,I do think it would be valuable to have something like `relatedSymbols?,2
1443,"In Java, we leverage the [reference-view]( to deal with the ""one to many"" case.",0
1648,"I found add `""keyboard.dispatch"": ""keyCode""` in config resolve this problem.",0
586,I use miniconda.,0
627,"This might""
    491         "" indicate you are trying to use an unsupported feature.",1
1696,You can't select all occurrences of a RegEx search without this functionality.,0
2102,"But now, I have a warning on this preference that says ""deprecated"" and to use  pcre (which doesn't work).",2
2200,"Actually, given we already put a `vscode.lock` file into the workspace storage folder whenever an instance is running, I wonder if the `js-debug` extensions couldn't simply scan the `<user data>/User/workspaceStorage` folder for a folder that contains such a file.",1
